efK	qt:	Recall:	qt:	Recall:	qt:	Recall:	Recall	qt(ms)
84	0.0159	0.6502	0.01401	0.5566	0.01114	0.4394	0.6502	15.9
85	0.002	0.0666	0.00126	0.0248	0.01399	0.5668	0.5668	2
86	0.01585	0.6163	0.00956	0.3553	0.00924	0.3419	0.6163	15.85
87	0.01736	0.6619	0.01267	0.4806	0.016	0.617	0.6619	17.36
88	0.01646	0.6093	0.01614	0.6141	0.0179	0.684	0.684	16.46
89	0.0166	0.6191	0.01593	0.5874	0.01623	0.6099	0.6191	16.6
90	0.01246	0.4452	0.01729	0.6294	0.01666	0.6117	0.6294	12.46
91	0.01866	0.6683	0.01583	0.5641	0.01869	0.6864	0.6864	18.66
92	0.01741	0.6193	0.01874	0.6645	0.01896	0.6864	0.6864	17.41
93	0.01913	0.6679	0.00593	0.178	0.01434	0.5072	0.6679	19.13
94	0.01883	0.6446	0.02002	0.6791	0.0092	0.2961	0.6791	18.83
95	0.00754	0.2487	0.00981	0.3181	0.00653	0.2051	0.3181	7.54
96	0.01416	0.4561	0.00247	0.0608	0.01782	0.5868	0.5868	14.16
97	0.0205	0.6598	0.01228	0.4025	0.01611	0.5251	0.6598	20.5
98	0.02034	0.6495	0.00421	0.1105	0.0049	0.1408	0.6495	20.34
99	0.01657	0.4994	0.00087	0.0234	0.02149	0.677	0.677	16.57
100	0.00727	0.2002	0.01277	0.3852	0.01886	0.5887	0.5887	7.27
120	0.03367	0.7776	0.03397	0.7667	0.00301	0.0749	0.7776	33.67
140	0.01347	0.2301	0.00043	0.0234	0.02867	0.4766	0.4766	13.47
160	0.06579	0.8278	0.03339	0.4226	0.02669	0.3329	0.8278	65.79
180	0.02861	0.2997	0.00061	0.0084	0.01522	0.157	0.2997	28.61
200	0.00018	0.0013	0.00028	0.0013	0.0362	0.3149	0.3149	0.18
220	0.00019	0.0013	0.00021	0.0013	0.01038	0.0792	0.0792	0.19
240	0.00135	0.007	0.08467	0.6096	0.03606	0.2676	0.6096	1.35
260	0.00364	0.0319	0.00027	0.0081	0.00337	0.0299	0.0319	3.64
280	0.00018	0.0014	0.00021	0.0014	0.00977	0.056	0.056	0.18
300	0.14748	0.7868	0.00038	0.0081	0.00162	0.015	0.7868	147.48
350	0.04625	0.2185	0.1207	0.5591	0.06211	0.2923	0.5591	46.25
400	0.03545	0.151	0.00018	0.0011	0.00031	0.0011	0.151	35.45
450	0.03139	0.1072	0.00039	0.0081	0.1011	0.3513	0.3513	31.39
500	0.00031	0.0012	0.17387	0.5683	0.11058	0.3589	0.5683	0.31
550	0.00046	0.001	0.11835	0.3469	0.02655	0.0838	0.3469	0.46
600	0.00031	0.001	0.01682	0.0452	0.04955	0.143	0.143	0.31
650	0.00024	0	0.00033	0	0.01948	0.0487	0.0487	0.24
700	0.01581	0.0447	0.02421	0.0637	0.03577	0.0944	0.0944	15.81
750	0.02906	0.0929	0.12057	0.3077	0.00032	0.001	0.3077	29.06
800	0.02762	0.0659	0.00018	0.0013	0.00029	0.0013	0.0659	27.62
